"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","Gene"
"eqtl-a-ENSG00000093010","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000093010 || id:eqtl-a-ENSG00000093010","Inverse variance weighted",11,-0.00142246884743228,0.00125769348614573,0.258049230106696,"COMT"
"eqtl-a-ENSG00000093010","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000093010 || id:eqtl-a-ENSG00000093010","MR Egger",11,-0.002475677372404,0.00170431040928544,0.180291725316746,"COMT"
"eqtl-a-ENSG00000093010","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000093010 || id:eqtl-a-ENSG00000093010","Weighted median",11,-0.0016055444910991,0.00137157342772205,0.24176527471992,"COMT"
