"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","Gene","Module"
"eqtl-a-ENSG00000150594","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000150594 || id:eqtl-a-ENSG00000150594","Inverse variance weighted",5,0.000957149330272144,0.00370842693554255,0.796328828771503,"ADRA2A","MR_D"
"eqtl-a-ENSG00000150594","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000150594 || id:eqtl-a-ENSG00000150594","MR Egger",5,-0.0145301334256381,0.0137708002238728,0.368824288613539,"ADRA2A","MR_D"
"eqtl-a-ENSG00000150594","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000150594 || id:eqtl-a-ENSG00000150594","Weighted median",5,0.00165592998526875,0.00452583398887385,0.714451678465105,"ADRA2A","MR_D"
"eqtl-a-ENSG00000150594","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000150594 || id:eqtl-a-ENSG00000150594","Weighted mode",5,0.00505382747348425,0.0107642949565383,0.663162664876462,"ADRA2A","MR_D"
