"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","Gene","Direction"
"ukb-b-6353","eqtl-a-ENSG00000105329","ENSG00000105329 || id:eqtl-a-ENSG00000105329","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","Inverse variance weighted",7,-0.108419751143027,0.875540032503145,0.901448404947435,"TGFB1","Reverse (Myopia -> Gene)"
"ukb-b-6353","eqtl-a-ENSG00000105329","ENSG00000105329 || id:eqtl-a-ENSG00000105329","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","MR Egger",7,1.78731997800808,3.02972564332239,0.580888422356324,"TGFB1","Reverse (Myopia -> Gene)"
"ukb-b-6353","eqtl-a-ENSG00000105329","ENSG00000105329 || id:eqtl-a-ENSG00000105329","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","Weighted median",7,0.270784293906587,1.07497130854955,0.801119063341962,"TGFB1","Reverse (Myopia -> Gene)"
"ukb-b-6353","eqtl-a-ENSG00000150768","ENSG00000150768 || id:eqtl-a-ENSG00000150768","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","Inverse variance weighted",7,0.0627513276626081,0.875550790699839,0.942863983637849,"LATS2","Reverse (Myopia -> Gene)"
"ukb-b-6353","eqtl-a-ENSG00000150768","ENSG00000150768 || id:eqtl-a-ENSG00000150768","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","MR Egger",7,-1.23205344863151,3.02975937460593,0.701086310997009,"LATS2","Reverse (Myopia -> Gene)"
"ukb-b-6353","eqtl-a-ENSG00000150768","ENSG00000150768 || id:eqtl-a-ENSG00000150768","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","Weighted median",7,-0.339684278846603,1.04863405858778,0.745990851570148,"LATS2","Reverse (Myopia -> Gene)"
