"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"eqtl-a-ENSG00000093010","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000093010 || id:eqtl-a-ENSG00000093010","Inverse variance weighted",5,-0.00170788984485872,0.00130544002627076,0.190776079103202
"eqtl-a-ENSG00000093010","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000093010 || id:eqtl-a-ENSG00000093010","MR Egger",5,-0.00222242290723434,0.00201688493914686,0.3509714655361
"eqtl-a-ENSG00000093010","ukb-b-6353","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') || id:ukb-b-6353","ENSG00000093010 || id:eqtl-a-ENSG00000093010","Weighted median",5,-0.00169978803710456,0.00133728322154637,0.20370176441126
