Variable,n (%),Miss if Yes,Miss if No,Univariable OR (95% CI),P-value,Multivariable aOR (95% CI),P-value 
Non-contrast CT (vs CE CT),307 (14.1),36.8%,31.8%,1.25 (0.97-1.61),0.081,0.84 (0.61-1.13),0.250
MRI (vs CE CT),720 (33.1),26.5%,35.4%,0.66 (0.54-0.80),<0.001,1.30 (1.00-1.69),0.048
Short report (<200 chars),616 (28.3),55.5%,23.4%,4.09 (3.36-4.98),<0.001,1.16 (0.89-1.50),0.271
Entirely normal report,218 (10.0),86.2%,26.5%,17.39 (11.68-25.89),<0.001,7.53 (4.84-11.71),<0.001
Mass/lesion mentioned,1117 (51.3),20.8%,44.8%,0.32 (0.27-0.39),<0.001,0.57 (0.45-0.72),<0.001
No differential diagnosis,1335 (61.3),40.3%,20.1%,2.69 (2.20-3.29),<0.001,1.79 (1.43-2.24),<0.001
Clinical info provided,1010 (46.4),16.3%,46.4%,0.23 (0.18-0.28),<0.001,0.32 (0.25-0.40),<0.001
Follow-up study,1309 (60.1),30.3%,35.7%,0.78 (0.65-0.94),0.009,0.90 (0.73-1.11),0.332
