"gene","outcome","n_snp","beta","se","ci_lo","ci_hi","pval","method"
"RDH5","Tedja2018_CREAM",1,-0.0935386396351431,0.00779099114069158,-0.108808982270899,-0.0782682969993876,3.30445342951193e-33,"Wald ratio"
"CD55","Tedja2018_CREAM",2,0.0286368709383266,0.0107744322882471,0.00751898365336234,0.0497547582232909,0.00786398880473249,"Inverse variance weighted"
"TGFB1","Tedja2018_CREAM",1,-0.159006561764815,0.056245688632761,-0.269248111485027,-0.0487650120446038,0.00469863278914534,"Wald ratio"
"CTNNB1","Tedja2018_CREAM",1,0.0492765386082897,0.00913543541125134,0.0313710852022371,0.0671819920143424,6.89062177325006e-08,"Wald ratio"
"FBN1","Tedja2018_CREAM",1,-0.0440475548431618,0.0128082450837923,-0.0691517152073948,-0.0189433944789289,0.000583867234021667,"Wald ratio"
