gene,outcome,n_snp,log_OR,se,log_OR_ci_lo,log_OR_ci_hi,OR,OR_ci_lo,OR_ci_hi,pval,method
RDH5,FinnGen_H7_MYOPIA,2,0.201572380522071,0.081116477726719,0.0425840841777015,0.36056067686644,1.22332477874457,1.04350379484344,1.43413327453686,0.0129560706652598,Inverse variance weighted
CD55,FinnGen_H7_MYOPIA,5,-0.0251429236622188,0.0406595212877176,-0.104835585386145,0.0545497380617076,0.975170527124845,0.900472561264518,1.05606500173368,0.536326679259728,Inverse variance weighted
TGFB1,FinnGen_H7_MYOPIA,1,0.299782304682411,0.596425527640399,-0.869211729492772,1.46877633885759,1.34956498161762,0.419281926594121,4.34391640584991,0.615223322712811,Wald ratio
CTNNB1,FinnGen_H7_MYOPIA,3,-0.0371578728565036,0.0903503575302034,-0.214244573615702,0.139928827902695,0.963524009053444,0.807150953053334,1.15019193437176,0.680878773941737,Inverse variance weighted
FBN1,FinnGen_H7_MYOPIA,1,-0.0770795688598542,0.125096349461075,-0.322268413803561,0.168109276083852,0.925816184537414,0.724503697435659,1.1830658843912,0.537787858854688,Wald ratio
